Day,T_mean,ET,Theta_Baseline,PSI_Baseline,Irrigation_Baseline,Theta_Digital_Twin_True,Theta_Digital_Twin_Est,PSI_Digital_Twin,Irrigation_Digital_Twin,Noisy_Measurement
1,29.4901424590337,0.0442023667140609,0.25,0.0,0.0,0.25,0.24,0.0,0.0,0.24171004989077927
2,27.585207096486446,0.04572495913765824,0.20579763328593909,0.0,0.0,0.20579763328593909,0.2417054636939353,0.0,0.0,0.2001958228839694
3,29.94306561430208,0.04618255973612708,0.16007267414828086,0.019963662925859577,0.12,0.16007267414828086,0.19984454343254948,7.772828372526464e-05,0.12,0.16754561019951347
4,32.569089569224076,0.046679680820313915,0.23389011441215377,0.013974564048101705,0.0,0.23389011441215377,0.1764504812211166,0.011852487673166975,0.0,0.23999381706648842
5,27.29753987582999,0.053501348105116364,0.18721043359183986,0.02036934725218178,0.12,0.18721043359183986,0.23244151903492538,0.008296741371216883,0.0,0.18700141765219838
6,27.29758912915246,0.05392557619096856,0.2537090854867235,0.014258543076527245,0.0,0.15,0.18632491608041846,0.01513428333100766,0.12,0.15117327383308782
7,32.737638446522176,0.06054088062805369,0.19978350929575495,0.014366788428649777,0.12,0.21607442380903147,0.15966818725236437,0.035300189704825485,0.0,0.22885107276691571
8,30.302304187458727,0.05112640531470233,0.25924262866770126,0.010056751900054844,0.0,0.15553354318097778,0.22223387363748898,0.02471013279337784,0.0,0.1496178292926195
9,26.591576842195146,0.04748606370956376,0.20811622335299892,0.00703972633003839,0.0,0.15,0.15142124446114208,0.048999510562806804,0.12,0.15547097381170039
10,29.627680130757895,0.03316892588099774,0.16063015964343516,0.026724646508320814,0.12,0.22251393629043625,0.1612165049080077,0.06839125810880295,0.0,0.2204920097660973
11,26.609746921562614,0.038350896214225424,0.24746123376243745,0.018707252555824568,0.0,0.18934501040943852,0.21457630501678243,0.047873880676162064,0.0,0.1871681983771663
12,26.60281073928923,0.04401873551832618,0.209110337548212,0.013095076789077197,0.0,0.15099411419521308,0.18624987710256982,0.05474894212487716,0.12,0.16198188271508498
13,28.725886814698104,0.04723416234004835,0.16509160202988582,0.030549275774134292,0.12,0.22697537867688689,0.1703948222634875,0.06955153099313341,0.0,0.23522954216676717
14,22.260159266026605,0.04928756437751411,0.23785743968983747,0.021384493041894007,0.0,0.17974121633683854,0.22807706050181165,0.048686071695193386,0.0,0.18787631269684493
15,22.8252465024609,0.044728262402396066,0.18856987531232336,0.027099555385732332,0.12,0.15,0.18711374507914275,0.05512919915562202,0.12,0.16305478807154328
